Number,Name,Quantity,Cost,Price
476,مالج ملتينه 80 سم امريكي Level5,129,40.66166,130
372,روبه 5 كغم طلياني,0,30.38,38
477,"رول ملتينه 9""  Level5",402,13.1175,60
478,يد مالج ملتينه امريكي Level5,99,14.097012,45
479,فتحة صيانه 40*80,21,87.29,160
480,فتحة صيانه 50*100,24,113.95,180
481,فتحة صيانه 120*60,2,140,200
413,تنر 5 لتر ايطالي,0,34,38
197,زاوية فيبا فيوز 152.3 م,0,34.5,40
294,معجونه تشققات ازرق 5 كغم,0,35,60
482,مفصلات فتحات الصيانه,49,1.4998988,5
190,قضبان لحام 3.25ملم DOZ,0,37,38
191,قضبان لحام 2.5ملم DOZ,0,37,40
307,"مجراد 8"" هايد نورستا",0,37.99922165,48
484,"رول ديكور 10""  1081 (copy)",1756,4.08,10
483,"رول طراشة 10 "" بلوفا",0,40,60
419,بوت صغير مشمع 23-27,0,40,55
485,فيبرامريكي 76م  AmericanFiber,4827,4.66982,25
486,تيب 5سم 45م,3032,3.15315,5
487,نصلة level 5 امريكي 25سم,96,7.97886,20
449,تيب لاصق شفاف 1000 يارد,0,41.6666,48
488,نصلة level 5  امريكي 40سم,90,10.17868,30
489,نصلة level 5  امريكي 60سم,82,13.3703,40
201,مقص صاج aroa تايواني,0,45,52
422,بوت صغير مشمع 28-35,0,45,60
193,كيس صوف ديكور,0,45,52
490,نصلة level 5  امريكي 80سم,95,18.41632,60
491, طقم رول حواف 5سم (2*1),222,3.23,5
492,رول حواف 5سم + يد,80,3.47016,5
493,طقم رول 15سم (2*1) رفيع,1,1.79,6.5
494,خرطوم للكحلة ( محقان),340,5.49,14
240,فرد دهان 4001S,0,50,69
495,فتحة صيانه 15*15,30,18.89475,40
496,"مجراد هايدي  6""  Master Hyde كعب حديد",28,22.5,28
305,مقص صاج ويس (wiss),0,52.08,60
268,فرشاية طراشه 7*17 بولوفا,0,52.32,60
279,ورق زجاج احمر ,0,55,70
497,"مجراد هايدي  8""  Master Hyde كعب حديد",28,31,40
241,فرد اغو 4001G,0,56,64
382,فرد تباشيم امريكي,0,58,75
374,رول ملتينه الماني فريس,0,59.675,80
498,"مجراد هايدي  10""  Master Hyde كعب حديد",45,42,50
285,ورق حف رول تسماح  80 احمر,0,59.94764501,65
418,بوت  صغير جلد 28-35,0,60,80
119,مطبة كابرس 20*20 طلياني,0,60,65
280,ورق زجاج اصفر,0,65,75
375,ماء زجاج  هيدروسيل  5 كغم,0,72.695,90
417,بوت وسط 36 - 39 جلد,0,75,90
242,1 لتر بويه تعتيق 440 نحاسي,0,85,100
243,1 لتر بويه تعتيق 415 ذهبي,0,85,100
244,1 لتر بويه تعتيق 407 فضي,0,85,100
415,بوت عمل بلندستون كبير 40-46,0,85,120
499,ز1وية الظل   Z (  باس نيتوك),725,12.36,20
304,ورق اسفنج 240 هرمز,0,90,135
311,نورتن اسفنج 120,0,95,160
312,نورتن اسفنج 150,0,95,160
332,بوت عمل ردباك,0,95,120
313,نورتن اسفنج 180,0,95,160
315,نورتن اسفنج 240,0,95,160
316,نورتن اسفنج 320,0,95,160
416,بوت عمل ردباك مع حديد,0,100,130
500,فرشابة قلم  #12,1164,1.1,2.25
390,براغي 7 سم ,0,105,135
501,قشاطة ابوكسي 25سم,1,20,30
502,قشاطة ابوكسي 45سم,1,25,35
503,مالج ابوكسي 30سم,1,18,30
504,مالج ابوكسي 50سم,1,23,40
505,"رول ديكور 10""   1017  (copy)",900,5.27,11
506,تيب 2سم  45م,8828,1.35828,2.8
326,ورق اسفنج 220,0,120,160
361,ورق اسفنج 400 سيا,0,140,175
507,مجراد معكوف الافق,102,3.06,6
291,ورق اسفنج  (بلولين) 240,0,145,175
367,ورق اسفنج 220 سيا,0,145,175
259,ورق اسفنج 320 سيا,0,145,180
257,ورق اسفنج 150 سيا,0,150,180
258,ورق اسفنج 180 سيا,0,150,180
256,ورق اسفنج 120 سيا,0,155,180
432,براغي جبص10000   2.5سم اسود,0,175,220
508,"مجراد 1""",480,1.0758,2
383,براغي 3.5,0,200,290
267,براغي عدسة (5000*1),0,215,280
370,براغي 2.5 جبص راس مقدح,0,220,260
371,براغي راس مقدح باخ,0,230,270
245,براغي جبص   2.5سم  (10000*1) كليك Click الاصلي ,0,255,300
384,براغي 4.5,0,290,320
254,براغي جبص باخ (1*10000) click,0,365,420
263,ورق حف رول كتان 80,0,400,700
264,ورق حف رول كتان 120,0,400,700
266,ورق حف رول كتان 100,0,400,700
427,مفركا,0,550,600
